ID,edad,genero,estado_civil,tipo_vivienda,integrantes,zona_geografica,tipo_zona,monto_solicitado,plazo,periodo,sector_economico,ingreso_mensual_bruto,costo_inversion,ingreso_mensual_neto,ingreso_adicional,ingreso_terceros,ingreso_total,gasto_basico,gastos_operativos,gastos_financieros,gasto_total,puntaje_experian,aprobado
SOL-000001,53,F,soltero,Alquilada,1,Sierra,Periurbano,456,44,Diario,Comercio,1319,43,751.83,80,208,1039.83,450,70,68,588,837,0
SOL-000002,42,F,soltero,Alquilada,1,Costa,Rural,1733,13,Semanal,Transporte,6825,65,2388.75,959,1223,4570.75,430,112,305,847,842,1
SOL-000003,51,F,viudo,Propia,6,Sierra,Rural,5184,17,Quincenal,Comercio,7755,74,2016.3,186,995,3197.3,1020,99,181,1300,771,1
SOL-000004,46,F,soltero,Familiar,1,Costa,Urbano,479,80,Diario,Transporte,2695,75,673.75,508,495,1676.75,550,52,126,728,731,1
SOL-000005,64,M,conviviente,Familiar,3,Sierra,Urbano,894,80,Diario,Transporte,2540,69,787.4,711,452,1950.4,830,68,146,1044,893,1
SOL-000006,53,F,casado,Alquilada,5,Costa,Urbano,7367,85,Diario,Produccion,4308,22,3360.24,268,464,4092.24,1250,115,244,1609,808,0
SOL-000007,34,F,divorciado,Propia,4,Selva,Rural,9852,119,Diario,Produccion,9039,61,3525.21,1291,826,5642.21,710,127,87,924,932,0
SOL-000008,44,F,casado,Alquilada,4,Costa,Rural,5948,7,Quincenal,Transporte,8664,61,3378.96,710,942,5030.96,840,66,662,1568,811,0
SOL-000009,49,F,casado,Familiar,2,Costa,Periurbano,1669,4,Mensual,Produccion,7323,65,2563.05,1821,1091,5475.05,630,221,368,1219,894,1
SOL-000010,56,F,casado,Alquilada,5,Selva,Periurbano,1764,14,Quincenal,Transporte,5049,68,1615.68,749,845,3209.68,1080,73,164,1317,896,1
SOL-000011,30,M,casado,Alquilada,4,Costa,Periurbano,2292,45,Diario,Transporte,5669,65,1984.15,556,147,2687.15,960,149,141,1250,904,0
SOL-000012,43,F,viudo,Familiar,4,Costa,Periurbano,6125,74,Diario,Produccion,3192,35,2074.8,316,114,2504.8,960,144,290,1394,945,0
SOL-000013,55,M,conviviente,Alquilada,2,Selva,Urbano,582,20,Semanal,Comercio,1618,73,436.86,45,191,672.86,640,49,62,751,720,0
SOL-000014,49,F,casado,Propia,4,Sierra,Urbano,409,11,Mensual,Produccion,1585,56,697.4,362,154,1213.4,1000,63,41,1104,835,0
SOL-000015,34,F,conviviente,Familiar,3,Selva,Periurbano,5130,16,Quincenal,Produccion,8860,18,7265.2,1571,624,9460.2,740,320,356,1416,819,1
SOL-000016,29,F,conviviente,Familiar,1,Sierra,Periurbano,2564,29,Semanal,Servicios,6508,75,1627,1835,654,4116,450,58,122,630,981,1
SOL-000017,36,M,viudo,Alquilada,3,Costa,Rural,4448,4,Semanal,Produccion,5641,69,1748.71,1461,427,3636.71,700,150,122,972,987,0
SOL-000018,62,M,casado,Propia,4,Selva,Rural,18888,19,Semanal,Servicios,8275,10,7447.5,2388,1238,11073.5,710,262,382,1354,742,0
SOL-000019,56,M,viudo,Alquilada,6,Selva,Rural,3054,90,Diario,Comercio,7113,65,2489.55,138,1023,3650.55,970,114,106,1190,915,1
SOL-000020,19,M,soltero,Alquilada,1,Selva,Rural,1130,39,Diario,Servicios,3838,52,1842.24,1069,258,3169.24,350,149,21,520,991,1
SOL-000021,52,F,casado,Familiar,2,Costa,Rural,1157,40,Semanal,Transporte,4072,67,1343.76,888,642,2873.76,560,77,22,659,878,1
SOL-000022,23,F,divorciado,Alquilada,2,Selva,Urbano,1074,2,Quincenal,Produccion,3222,70,966.6,396,116,1478.6,640,94,70,804,718,0
SOL-000023,37,F,casado,Familiar,4,Selva,Urbano,2157,8,Mensual,Comercio,3723,68,1191.36,565,114,1870.36,990,78,170,1238,802,0
SOL-000024,69,F,casado,Propia,5,Costa,Periurbano,6794,27,Semanal,Comercio,9158,74,2381.08,1178,1409,4968.08,1130,73,218,1421,902,1
SOL-000025,64,F,viudo,Propia,4,Sierra,Urbano,772,15,Semanal,Comercio,1647,66,559.98,130,221,910.98,1000,50,0,1050,765,0
SOL-000026,40,M,soltero,Familiar,1,Selva,Urbano,5755,39,Semanal,Produccion,5981,57,2571.83,1074,1094,4739.83,490,127,79,696,815,1
SOL-000027,46,M,divorciado,Familiar,5,Sierra,Urbano,981,4,Quincenal,Produccion,8992,67,2967.36,2560,247,5774.36,1180,179,533,1892,907,1
