ID,edad,genero,estado_civil,tipo_vivienda,integrantes,zona_geografica,tipo_zona,monto_solicitado,plazo,periodo,ingreso_adicional,ingreso_terceros,sector_economico,ingreso_mensual_bruto,costo_inversion,ingreso_mensual_neto,gasto_basico,gastos_operativos,gastos_financieros,deuda_total_financiera,puntaje_experian,aprobado
SOL-000001,49,M,casado,Propia,3,Selva,Periurbano,2509,271,Semanal,1447,214,Servicios,7604,75,1901,740,82,620,4639,434,1
SOL-000002,44,F,conviviente,Familiar,3,Costa,Rural,4629,213,Semanal,1494,1201,Servicios,2458,10,2212.2,700,106,487,4667,623,1
SOL-000003,52,M,soltero,Alquilada,2,Costa,Urbano,8274,93,Semanal,1080,1026,Servicios,19995,40,11997,710,184,497,1711,449,1
SOL-000004,42,M,soltero,Propia,1,Sierra,Rural,9272,73,Semanal,955,1681,Servicios,19023,10,17120.7,390,187,616,4729,672,1
SOL-000005,49,F,conviviente,Propia,3,Sierra,Rural,7115,52,Mensual,1322,347,Servicios,1163,41,686.17,630,157,760,233,654,0
SOL-000006,25,M,casado,Propia,6,Sierra,Rural,7869,130,Quincenal,376,1392,Comercio,5435,67,1793.55,1020,152,396,1748,635,1
SOL-000007,35,F,conviviente,Familiar,5,Costa,Urbano,7503,252,Quincenal,655,792,Produccion,16017,62,6086.46,1250,103,1217,572,721,1
SOL-000008,45,M,soltero,Propia,6,Costa,Rural,2237,81,Mensual,896,997,Servicios,3184,53,1496.48,1150,129,1024,3394,387,0
SOL-000009,43,F,divorciado,Familiar,2,Selva,Periurbano,1885,217,Mensual,474,1420,Comercio,1373,55,617.85,580,62,562,525,580,1
SOL-000010,43,F,viudo,Familiar,6,Selva,Urbano,1623,346,Quincenal,76,10,Comercio,18179,40,10907.4,1330,138,594,4796,306,1
SOL-000011,49,M,divorciado,Propia,5,Sierra,Urbano,6918,62,Semanal,1646,1870,Transporte,6632,65,2321.2,1180,122,636,895,396,1
SOL-000012,49,F,soltero,Propia,1,Selva,Periurbano,2763,324,Semanal,1649,1876,Servicios,10675,70,3202.5,430,110,746,4151,537,1
SOL-000013,21,M,conviviente,Propia,1,Selva,Urbano,5433,121,Mensual,1776,465,Servicios,7826,70,2347.8,490,55,558,4508,325,1
SOL-000014,52,M,conviviente,Alquilada,5,Selva,Periurbano,5604,331,Mensual,1733,1564,Comercio,8712,64,3136.32,1080,185,340,1334,407,1
SOL-000015,29,M,soltero,Propia,6,Costa,Urbano,3057,158,Semanal,641,680,Produccion,16699,74,4341.74,1440,93,1171,2372,733,1
SOL-000016,54,M,soltero,Familiar,1,Costa,Urbano,3123,221,Semanal,277,1316,Produccion,18059,70,5417.7,550,65,1339,3180,617,1
SOL-000017,49,F,viudo,Propia,5,Costa,Urbano,8476,237,Diario,37,1095,Servicios,9046,62,3437.48,1250,185,1082,1814,522,1
SOL-000018,66,M,viudo,Alquilada,3,Sierra,Periurbano,7749,153,Diario,798,1911,Produccion,3189,32,2168.52,740,134,119,3804,758,1
SOL-000019,47,F,divorciado,Propia,6,Selva,Urbano,6484,221,Mensual,1607,55,Comercio,6815,77,1567.45,1330,52,599,2275,412,1
SOL-000020,36,M,divorciado,Propia,4,Selva,Rural,2602,193,Semanal,977,258,Produccion,3955,79,830.55,710,78,202,686,633,1
SOL-000021,36,M,conviviente,Alquilada,1,Costa,Rural,9530,59,Semanal,53,302,Transporte,19918,10,17926.2,430,161,1227,2373,673,1
SOL-000022,52,M,viudo,Alquilada,1,Selva,Urbano,1944,136,Semanal,1938,1287,Transporte,6651,65,2327.85,490,62,326,4400,347,1
SOL-000023,69,M,conviviente,Propia,6,Sierra,Rural,8951,207,Semanal,477,51,Comercio,9082,54,4177.72,1020,153,131,1384,323,1
SOL-000024,31,F,conviviente,Propia,2,Selva,Urbano,2064,358,Mensual,1122,337,Produccion,7191,38,4458.42,640,163,416,3866,415,1
SOL-000025,62,F,viudo,Propia,4,Selva,Periurbano,7979,332,Mensual,1406,1075,Transporte,8402,40,5041.2,920,143,433,4607,419,1
SOL-000026,64,M,conviviente,Familiar,3,Sierra,Periurbano,8635,94,Semanal,589,712,Transporte,7903,69,2449.93,740,77,232,885,482,1
SOL-000027,55,M,casado,Familiar,4,Selva,Periurbano,9526,38,Diario,455,266,Servicios,3663,61,1428.57,920,173,788,4360,836,0
SOL-000028,51,F,casado,Familiar,1,Selva,Urbano,4709,160,Diario,158,181,Servicios,16688,71,4839.52,490,184,880,678,323,1
SOL-000029,61,F,divorciado,Alquilada,2,Costa,Urbano,9099,351,Diario,1766,1425,Transporte,1239,69,384.09,710,193,978,207,386,1
SOL-000030,35,F,casado,Propia,1,Costa,Urbano,8078,56,Diario,1227,1614,Transporte,14163,69,4390.53,550,94,186,3882,508,1
SOL-000031,49,F,casado,Familiar,5,Sierra,Urbano,1541,114,Semanal,221,227,Servicios,1670,72,467.6,1180,200,1039,665,721,0
SOL-000032,57,M,divorciado,Propia,2,Selva,Urbano,1301,301,Quincenal,1204,206,Produccion,3368,71,976.72,640,92,382,3045,757,1
SOL-000033,69,F,soltero,Alquilada,1,Sierra,Periurbano,8420,164,Semanal,786,632,Comercio,9182,21,7253.78,450,170,307,2213,490,1
SOL-000034,65,M,casado,Alquilada,2,Selva,Rural,4817,90,Quincenal,353,1751,Comercio,14643,75,3660.75,470,123,1072,1146,830,1
SOL-000035,61,F,divorciado,Propia,2,Sierra,Rural,6091,349,Semanal,1667,1905,Comercio,16811,67,5547.63,520,131,489,3115,537,1
SOL-000036,49,F,conviviente,Alquilada,1,Selva,Urbano,7780,289,Quincenal,1510,222,Transporte,16139,69,5003.09,490,120,1087,1517,696,1
SOL-000037,50,F,conviviente,Familiar,2,Sierra,Urbano,9107,60,Mensual,1624,68,Servicios,6490,68,2076.8,670,180,653,4128,637,1
SOL-000038,32,M,casado,Familiar,2,Sierra,Rural,562,326,Mensual,826,576,Servicios,2750,40,1650,520,153,495,3582,834,1
SOL-000039,65,M,soltero,Familiar,5,Costa,Rural,1814,295,Diario,1353,496,Servicios,16346,55,7355.7,1000,191,1482,301,501,1
SOL-000040,20,M,divorciado,Familiar,6,Costa,Periurbano,6502,221,Diario,356,903,Comercio,15122,53,7107.34,1300,184,206,2354,320,1
SOL-000041,23,M,conviviente,Propia,6,Selva,Rural,9223,138,Mensual,155,1569,Servicios,7129,55,3208.05,970,75,648,4842,517,1
SOL-000042,36,F,casado,Familiar,3,Costa,Rural,3991,185,Diario,834,1294,Transporte,15952,18,13080.64,700,104,1434,927,654,1
SOL-000043,48,M,casado,Alquilada,4,Costa,Periurbano,4068,162,Semanal,738,126,Transporte,14015,70,4204.5,960,67,198,3449,309,1
SOL-000044,67,M,viudo,Propia,6,Selva,Periurbano,1437,56,Semanal,1864,1873,Servicios,8518,60,3407.2,1240,65,562,4048,535,1
SOL-000045,51,F,viudo,Familiar,1,Selva,Urbano,4359,283,Semanal,129,211,Transporte,9281,15,7888.85,490,63,165,924,689,1
SOL-000046,43,F,divorciado,Alquilada,4,Costa,Rural,6079,299,Diario,1444,291,Produccion,10897,62,4140.86,840,198,159,2512,421,1
SOL-000047,59,F,casado,Alquilada,4,Selva,Periurbano,5539,318,Diario,1630,162,Transporte,15535,77,3573.05,920,143,373,4020,777,1
SOL-000048,48,M,conviviente,Alquilada,5,Costa,Periurbano,1609,170,Semanal,1558,1498,Comercio,11753,22,9167.34,1130,150,1170,874,641,1
SOL-000049,31,F,casado,Alquilada,3,Sierra,Urbano,2412,293,Semanal,155,815,Transporte,4125,63,1526.25,830,183,1151,4911,633,0
SOL-000050,39,M,casado,Alquilada,5,Sierra,Urbano,6769,299,Semanal,1452,1337,Transporte,8328,65,2914.8,1180,135,789,2175,464,1
SOL-000051,27,F,conviviente,Alquilada,4,Sierra,Urbano,1538,294,Mensual,1862,154,Servicios,16103,72,4508.84,1000,119,1392,1967,483,1
SOL-000052,21,F,soltero,Alquilada,4,Costa,Periurbano,7480,291,Mensual,657,150,Servicios,3459,70,1037.7,960,146,896,493,798,0
SOL-000053,70,F,viudo,Familiar,5,Costa,Rural,2013,201,Quincenal,1715,1281,Transporte,3796,65,1328.6,1000,148,1422,1118,648,1
SOL-000054,65,F,soltero,Familiar,1,Costa,Rural,9272,268,Mensual,406,1204,Produccion,14449,60,5779.6,430,64,539,4956,323,1
SOL-000055,52,F,casado,Propia,3,Selva,Urbano,678,73,Mensual,1273,1687,Comercio,17549,10,15794.1,800,130,1021,2748,788,1
SOL-000056,66,M,soltero,Alquilada,1,Sierra,Urbano,5183,225,Quincenal,303,575,Transporte,13916,63,5148.92,520,100,327,2817,481,1
SOL-000057,40,M,casado,Familiar,1,Sierra,Periurbano,1179,295,Quincenal,356,1482,Comercio,15667,13,13630.29,450,160,904,3679,763,1
SOL-000058,36,F,soltero,Propia,2,Costa,Periurbano,3144,183,Semanal,1057,1861,Comercio,12317,64,4434.12,630,77,1188,3061,703,1
SOL-000059,23,F,divorciado,Propia,2,Sierra,Rural,9244,154,Mensual,1620,1013,Transporte,4543,63,1680.91,520,132,997,1016,635,1
SOL-000060,30,M,viudo,Alquilada,5,Costa,Urbano,1056,213,Semanal,1249,874,Transporte,18963,61,7395.57,1250,105,382,3257,511,1
SOL-000061,34,M,conviviente,Familiar,6,Costa,Urbano,3697,169,Mensual,1808,760,Servicios,12007,68,3842.24,1440,192,712,3445,612,1
SOL-000062,61,F,soltero,Propia,1,Sierra,Periurbano,2335,184,Quincenal,297,1141,Comercio,18789,62,7139.82,450,100,808,2753,780,1
SOL-000063,43,F,viudo,Propia,2,Costa,Urbano,7886,86,Mensual,1657,1270,Produccion,3957,68,1266.24,710,122,124,2542,575,1
SOL-000064,45,F,conviviente,Propia,1,Costa,Urbano,4740,66,Quincenal,543,1938,Transporte,15601,56,6864.44,550,50,208,3280,562,1
SOL-000065,27,M,viudo,Alquilada,1,Sierra,Periurbano,6013,336,Diario,947,1256,Servicios,15991,70,4797.3,450,149,1095,3537,764,1
SOL-000066,45,F,viudo,Alquilada,6,Sierra,Urbano,7466,105,Semanal,1775,1285,Transporte,17329,55,7798.05,1350,68,828,1213,681,1
SOL-000067,29,M,casado,Familiar,6,Sierra,Urbano,8251,328,Quincenal,1949,212,Servicios,8666,40,5199.6,1350,72,1215,2892,501,1
SOL-000068,36,M,soltero,Alquilada,4,Selva,Periurbano,5712,227,Semanal,1572,1428,Servicios,4155,38,2576.1,920,117,1122,3424,315,1
SOL-000069,52,F,casado,Familiar,6,Sierra,Urbano,6210,180,Quincenal,791,1964,Transporte,17284,71,5012.36,1350,141,339,2621,300,1
SOL-000070,55,F,soltero,Propia,4,Selva,Urbano,8380,360,Diario,760,1686,Produccion,15843,61,6178.77,990,81,275,543,386,1
SOL-000071,21,F,divorciado,Alquilada,2,Costa,Periurbano,9175,74,Mensual,686,1259,Comercio,12810,63,4739.7,630,145,563,2377,840,1
SOL-000072,26,F,divorciado,Alquilada,2,Selva,Periurbano,7505,100,Quincenal,386,709,Transporte,7884,78,1734.48,580,80,877,3062,815,1
SOL-000073,19,F,viudo,Alquilada,1,Sierra,Urbano,7866,337,Quincenal,1958,1631,Transporte,15294,74,3976.44,520,67,867,1913,378,1
SOL-000074,69,M,divorciado,Alquilada,3,Costa,Periurbano,8558,339,Diario,1526,129,Produccion,11678,76,2802.72,790,78,485,2954,640,1
SOL-000075,54,M,casado,Familiar,2,Costa,Urbano,8529,353,Quincenal,253,1947,Transporte,1482,49,755.82,710,106,925,358,390,1
SOL-000076,44,M,conviviente,Propia,1,Costa,Urbano,3120,195,Diario,1476,620,Comercio,3573,17,2965.59,550,163,415,3606,499,1
SOL-000077,27,F,viudo,Alquilada,1,Costa,Periurbano,2488,223,Diario,759,1597,Servicios,6348,62,2412.24,480,110,1189,2587,354,1
SOL-000078,66,F,casado,Propia,4,Costa,Periurbano,3484,268,Mensual,347,1492,Servicios,13192,18,10817.44,960,151,1091,1369,604,1
SOL-000079,21,F,divorciado,Propia,3,Sierra,Periurbano,9275,90,Diario,464,874,Produccion,19672,62,7475.36,740,74,1331,3159,744,1
SOL-000080,56,M,conviviente,Alquilada,1,Sierra,Periurbano,4939,40,Quincenal,1747,1687,Servicios,17417,65,6095.95,450,146,527,313,363,1
SOL-000081,48,F,conviviente,Propia,3,Selva,Periurbano,4743,300,Quincenal,1116,1419,Servicios,12756,54,5867.76,740,63,1219,237,319,1
SOL-000082,26,F,soltero,Propia,5,Selva,Periurbano,2234,270,Semanal,1199,837,Produccion,9996,61,3898.44,1080,139,801,3978,569,1
SOL-000083,35,M,divorciado,Familiar,5,Selva,Periurbano,509,53,Semanal,832,178,Transporte,15766,10,14189.4,1080,177,1310,1051,477,1
SOL-000084,61,F,viudo,Familiar,4,Costa,Urbano,2978,308,Semanal,1736,344,Servicios,18336,65,6417.6,1070,61,487,3353,750,1
SOL-000085,28,F,soltero,Familiar,6,Selva,Urbano,1830,64,Diario,1376,968,Produccion,9475,63,3505.75,1330,166,337,2085,428,1
SOL-000086,54,M,viudo,Familiar,4,Costa,Periurbano,4413,38,Quincenal,1011,497,Servicios,1969,61,767.91,960,99,189,1648,302,1
SOL-000087,19,F,divorciado,Familiar,2,Costa,Periurbano,1019,234,Quincenal,1272,1178,Comercio,3515,35,2284.75,630,166,917,4397,818,1
SOL-000088,25,M,soltero,Familiar,6,Selva,Periurbano,8337,213,Quincenal,1705,669,Comercio,19591,38,12146.42,1240,198,789,2420,844,1
SOL-000089,70,F,casado,Familiar,1,Sierra,Periurbano,3359,237,Mensual,746,648,Servicios,5770,71,1673.3,450,160,199,3370,506,1
SOL-000090,37,M,viudo,Propia,4,Sierra,Rural,6302,280,Mensual,1670,707,Produccion,17342,63,6416.54,750,102,1253,1627,525,1
SOL-000091,20,M,viudo,Familiar,5,Selva,Rural,7565,249,Mensual,874,1358,Transporte,7583,61,2957.37,840,60,134,3844,770,1
SOL-000092,67,F,conviviente,Propia,2,Costa,Urbano,6633,235,Diario,800,448,Servicios,17094,69,5299.14,710,140,696,1044,663,1
SOL-000093,53,F,casado,Alquilada,3,Selva,Rural,8801,84,Quincenal,613,154,Servicios,2950,79,619.5,590,100,1152,1885,769,0
SOL-000094,52,M,divorciado,Familiar,4,Selva,Urbano,6203,242,Semanal,182,732,Servicios,1242,73,335.34,990,156,1292,2553,701,0
SOL-000095,64,F,divorciado,Familiar,2,Sierra,Rural,6397,324,Semanal,131,128,Servicios,4553,63,1684.61,520,51,159,1702,443,1
SOL-000096,34,F,casado,Propia,4,Sierra,Urbano,2174,175,Semanal,321,683,Produccion,11471,35,7456.15,1000,87,658,4005,778,1
SOL-000097,51,M,viudo,Familiar,5,Sierra,Rural,8185,265,Diario,775,1299,Comercio,16592,66,5641.28,890,79,334,4072,786,1
SOL-000098,51,F,divorciado,Alquilada,5,Selva,Urbano,9612,170,Semanal,1057,1349,Produccion,19867,76,4768.08,1160,128,1254,3703,781,1
SOL-000099,44,M,conviviente,Propia,3,Costa,Rural,7053,172,Diario,1885,715,Comercio,3173,73,856.71,700,134,180,1914,827,1
SOL-000100,26,F,casado,Propia,1,Costa,Rural,8417,109,Mensual,1907,708,Servicios,9127,62,3468.26,430,140,1131,3155,757,1
SOL-000101,62,M,casado,Propia,6,Selva,Periurbano,6574,219,Quincenal,1847,1556,Comercio,6291,63,2327.67,1240,188,1171,1354,754,1
SOL-000102,50,M,casado,Alquilada,1,Sierra,Urbano,5517,113,Quincenal,1972,612,Transporte,9988,21,7890.52,520,145,134,1215,760,1
SOL-000103,63,F,viudo,Familiar,3,Selva,Rural,3131,292,Mensual,1211,628,Servicios,3119,63,1154.03,590,125,385,1261,654,1
SOL-000104,41,M,conviviente,Familiar,2,Costa,Urbano,9562,69,Quincenal,83,1364,Servicios,10970,62,4168.6,710,192,967,4491,561,1
SOL-000105,54,M,viudo,Familiar,1,Selva,Periurbano,9436,239,Mensual,1292,1614,Produccion,14473,30,10131.1,430,168,188,1759,409,1
SOL-000106,68,M,soltero,Familiar,1,Costa,Periurbano,9472,315,Semanal,380,962,Transporte,17928,55,8067.6,480,162,1384,4146,379,1
SOL-000107,31,M,divorciado,Alquilada,3,Sierra,Rural,9300,215,Mensual,505,460,Servicios,13480,65,4718,630,193,913,472,639,1
SOL-000108,41,F,conviviente,Propia,4,Costa,Rural,6349,58,Semanal,71,1299,Transporte,9377,53,4407.19,840,81,1053,336,759,1
SOL-000109,24,F,soltero,Familiar,1,Selva,Urbano,1882,97,Diario,1917,298,Produccion,4533,25,3399.75,490,175,549,1592,752,1
SOL-000110,43,F,viudo,Alquilada,6,Costa,Urbano,7952,210,Quincenal,529,308,Transporte,7418,66,2522.12,1440,162,415,3629,586,1
SOL-000111,36,M,viudo,Alquilada,1,Costa,Rural,3530,274,Diario,537,718,Comercio,8090,25,6067.5,430,155,651,2210,333,1
