ID,edad,genero,estado_civil,tipo_vivienda,integrantes,zona_geografica,tipo_zona,monto_solicitado,plazo,periodo,ingreso_adicional,ingreso_terceros,sector_economico,costo_inversion,ingreso_mensual_neto,gasto_basico,gastos_operativos,gastos_financieros,deuda_total_financiera,puntaje_experian,aprobado
SOL-000001,32,M,viudo,Familiar,3,Selva,Periurbano,7563,30,Semanal,1775,27,Transporte,65,3264.45,740,220,624,2496,711,1
SOL-000002,24,M,casado,Familiar,6,Sierra,Periurbano,1636,15,Quincenal,391,196,Servicios,68,600.64,1210,60,49,98,881,0
SOL-000003,22,M,viudo,Familiar,5,Costa,Rural,5676,72,Diario,415,707,Produccion,49,2373.03,1000,60,395,5925,588,1
SOL-000004,69,M,viudo,Familiar,6,Costa,Rural,2342,51,Diario,1320,891,Comercio,54,2389.7,1150,228,167,1002,989,1
SOL-000005,25,M,viudo,Propia,3,Selva,Rural,456,31,Semanal,423,338,Transporte,68,560.64,590,52,35,140,694,1
SOL-000006,44,M,viudo,Alquilada,1,Costa,Rural,3008,3,Quincenal,1095,682,Transporte,76,1830.72,430,86,269,4304,622,1
SOL-000007,43,F,soltero,Alquilada,1,Sierra,Periurbano,10856,4,Quincenal,566,132,Produccion,18,4999.54,450,320,998,10978,508,1
SOL-000008,26,M,casado,Propia,1,Selva,Periurbano,944,12,Mensual,592,401,Produccion,71,736.31,430,62,95,665,652,1
SOL-000009,23,F,conviviente,Propia,3,Selva,Urbano,8705,19,Semanal,183,556,Produccion,47,4037.54,800,61,803,12848,559,1
SOL-000010,27,M,viudo,Familiar,4,Costa,Rural,4987,18,Semanal,147,640,Servicios,53,2217.46,840,210,175,350,718,1
SOL-000011,40,M,conviviente,Propia,6,Selva,Rural,1762,6,Quincenal,1457,601,Transporte,67,2345.97,970,77,337,5392,586,1
SOL-000012,49,M,casado,Familiar,5,Selva,Periurbano,2340,4,Semanal,375,166,Servicios,38,874.82,1080,79,95,3420,535,0
SOL-000013,22,F,viudo,Alquilada,6,Sierra,Rural,6585,6,Semanal,1008,40,Comercio,35,2218.45,1020,70,369,11070,450,1
SOL-000014,48,M,soltero,Familiar,1,Sierra,Urbano,7804,6,Quincenal,1497,280,Servicios,57,3786.15,520,243,757,18168,378,1
SOL-000015,21,F,soltero,Propia,1,Sierra,Urbano,3711,35,Semanal,1120,1307,Produccion,58,3223.08,520,232,493,17748,347,1
SOL-000016,47,F,conviviente,Propia,2,Costa,Urbano,376,111,Diario,404,234,Transporte,70,480,710,48,30,90,859,0
SOL-000017,64,M,divorciado,Propia,4,Sierra,Urbano,1570,33,Semanal,324,139,Produccion,60,1288.8,1000,54,223,3568,559,0
SOL-000018,40,M,conviviente,Alquilada,6,Sierra,Periurbano,4593,42,Diario,1207,1249,Transporte,68,2518.08,1210,217,87,522,844,1
SOL-000019,54,F,conviviente,Alquilada,4,Costa,Urbano,2668,11,Semanal,907,1085,Comercio,60,2496.8,1070,107,463,2778,801,1
SOL-000020,34,F,conviviente,Alquilada,5,Costa,Rural,609,37,Diario,0,280,Servicios,65,649.95,1000,57,14,84,847,0
SOL-000021,48,M,casado,Familiar,4,Costa,Periurbano,360,47,Diario,27,88,Comercio,32,954.72,960,85,39,351,797,0
SOL-000022,36,M,soltero,Propia,1,Selva,Periurbano,813,104,Diario,328,161,Comercio,67,664.95,430,50,66,1056,845,1
SOL-000023,47,F,viudo,Familiar,4,Selva,Rural,2682,8,Mensual,820,366,Produccion,69,1007.5,710,57,103,3399,614,1
SOL-000024,63,M,soltero,Alquilada,1,Costa,Rural,2038,16,Semanal,1624,58,Produccion,70,2482.5,430,171,98,294,692,1
SOL-000025,20,M,soltero,Propia,1,Sierra,Periurbano,2223,6,Quincenal,500,372,Comercio,52,2993.28,450,133,378,1512,911,1
SOL-000026,65,M,divorciado,Alquilada,4,Costa,Rural,4488,22,Quincenal,1432,858,Produccion,74,1543.36,840,90,125,375,968,1
SOL-000027,45,M,soltero,Propia,1,Selva,Rural,1826,48,Semanal,1161,826,Transporte,65,1914.5,350,63,342,1026,791,1
SOL-000028,27,F,divorciado,Propia,4,Sierra,Urbano,4144,22,Quincenal,1009,222,Transporte,64,1708.2,1000,117,27,216,939,1
SOL-000029,45,F,soltero,Alquilada,1,Selva,Periurbano,959,18,Quincenal,151,221,Servicios,58,828.66,430,77,121,1815,546,1
SOL-000030,57,M,conviviente,Familiar,5,Costa,Urbano,505,103,Diario,420,487,Servicios,64,1171.44,1250,71,128,1408,914,1
SOL-000031,19,F,soltero,Familiar,1,Selva,Urbano,6665,32,Semanal,2016,1425,Servicios,63,3324.08,490,70,396,4752,848,1
SOL-000032,25,M,soltero,Familiar,1,Sierra,Rural,1564,7,Mensual,1295,654,Servicios,21,6781.36,390,412,644,3864,810,1
SOL-000033,33,F,soltero,Propia,1,Sierra,Periurbano,3054,12,Mensual,483,441,Servicios,18,6574.76,450,568,899,5394,982,1
SOL-000034,65,M,soltero,Alquilada,1,Selva,Periurbano,555,7,Quincenal,535,664,Produccion,60,1666.8,430,136,329,1316,795,1
SOL-000035,27,M,viudo,Alquilada,6,Sierra,Periurbano,5909,23,Quincenal,1076,867,Servicios,40,2890.2,1210,130,556,13344,406,1
SOL-000036,52,M,soltero,Familiar,1,Costa,Urbano,1055,2,Quincenal,1282,880,Transporte,68,2679.04,550,104,255,2295,881,1
SOL-000037,60,M,divorciado,Alquilada,2,Costa,Periurbano,1578,10,Mensual,1121,153,Produccion,61,1850.16,630,129,265,2120,832,1
SOL-000038,42,F,conviviente,Familiar,2,Sierra,Urbano,3798,11,Semanal,593,640,Produccion,40,3243.6,670,56,433,3897,916,1
SOL-000039,52,M,conviviente,Propia,3,Sierra,Urbano,2626,49,Semanal,730,40,Produccion,60,1125.6,830,56,104,1560,876,1
SOL-000040,54,F,soltero,Alquilada,1,Sierra,Rural,3272,39,Diario,1814,926,Transporte,53,4011.45,390,366,298,2384,928,1
SOL-000041,27,M,soltero,Propia,1,Selva,Urbano,2801,3,Mensual,586,165,Produccion,63,1089.65,490,78,103,515,825,1
SOL-000042,49,F,divorciado,Alquilada,2,Costa,Urbano,2258,6,Mensual,1687,574,Servicios,67,2713.26,710,126,338,5408,800,1
SOL-000043,42,M,viudo,Alquilada,6,Selva,Rural,6359,17,Semanal,304,1034,Transporte,60,2363.6,970,59,459,2754,756,1
SOL-000044,54,F,viudo,Alquilada,6,Costa,Rural,6070,17,Semanal,893,1415,Servicios,69,2478.76,1150,157,328,5904,539,1
SOL-000045,48,F,conviviente,Alquilada,2,Costa,Urbano,1759,8,Mensual,650,405,Transporte,65,1223.25,710,94,133,931,954,1
SOL-000046,36,M,soltero,Alquilada,1,Costa,Urbano,4278,18,Quincenal,140,932,Produccion,68,2881.6,550,154,130,3120,826,1
SOL-000047,65,F,viudo,Alquilada,5,Costa,Periurbano,3934,8,Quincenal,2333,600,Transporte,72,2775.92,1130,216,267,2403,996,1
SOL-000048,58,M,soltero,Familiar,1,Selva,Urbano,6412,52,Semanal,2375,853,Produccion,15,7013.35,490,259,720,5040,816,1
SOL-000049,49,M,conviviente,Familiar,1,Selva,Rural,14150,38,Diario,1219,201,Comercio,10,6672.6,350,596,1197,32319,338,1
SOL-000050,41,F,conviviente,Familiar,4,Selva,Urbano,4858,67,Diario,519,622,Comercio,74,2020.72,990,161,263,2630,915,1
SOL-000051,46,F,casado,Alquilada,1,Selva,Rural,1575,90,Diario,129,181,Produccion,65,585.9,350,53,19,228,660,1
SOL-000052,46,F,divorciado,Alquilada,1,Sierra,Urbano,4399,8,Mensual,1137,1476,Transporte,76,2013.84,520,50,110,880,766,1
SOL-000053,33,F,divorciado,Alquilada,3,Costa,Periurbano,3416,10,Mensual,1445,262,Transporte,69,1930.99,790,64,100,1200,937,1
SOL-000054,23,M,casado,Propia,5,Selva,Periurbano,893,51,Semanal,267,98,Transporte,73,638.82,1080,53,112,672,945,0
SOL-000055,38,F,divorciado,Alquilada,1,Costa,Rural,13866,19,Quincenal,1492,121,Servicios,25,4731,430,363,324,2592,855,1
SOL-000056,64,M,casado,Propia,4,Sierra,Urbano,5266,47,Diario,582,1191,Transporte,71,2160.5,1000,83,162,162,947,1
SOL-000057,40,M,conviviente,Propia,5,Costa,Rural,1111,7,Mensual,674,127,Produccion,50,3871,1000,373,19,57,991,1
SOL-000058,34,M,soltero,Propia,1,Sierra,Periurbano,381,51,Diario,245,318,Comercio,55,814.05,450,72,150,150,806,1
SOL-000059,24,M,divorciado,Alquilada,6,Costa,Urbano,3075,116,Diario,2238,231,Servicios,49,3906.09,1440,306,318,8586,569,1
SOL-000060,39,M,soltero,Familiar,1,Costa,Rural,1466,109,Diario,653,547,Servicios,52,1379.04,430,94,166,3984,549,1
SOL-000061,58,M,conviviente,Propia,2,Sierra,Periurbano,2402,70,Diario,432,66,Transporte,65,1380.75,590,62,207,2484,818,1
SOL-000062,55,F,soltero,Alquilada,1,Selva,Periurbano,5344,62,Diario,86,43,Produccion,53,2475.02,430,97,57,798,845,1
SOL-000063,31,M,soltero,Propia,1,Costa,Rural,1927,33,Semanal,317,570,Produccion,68,3011.2,430,223,436,2616,717,1
SOL-000064,20,M,soltero,Familiar,1,Costa,Rural,5270,69,Diario,1609,1375,Comercio,63,3232.32,430,185,123,1476,790,1
