ID,edad,genero,estado_civil,tipo_vivienda,integrantes,zona_geografica,tipo_zona,monto_solicitado,plazo,periodo,sector_economico,ingreso_mensual_bruto,costo_inversion,ingreso_mensual_neto,ingreso_adicional,ingreso_terceros,ingreso_total,gasto_basico,gastos_operativos,gastos_financieros,gasto_total,deuda_total_financiera,puntaje_experian,capacidad_pago_porcentaje,aprobado
SOL-000001,39,F,soltero,Familiar,1,Sierra,Periurbano,3523,16,Quincenal,Produccion,2869,56,1262.36,747,561,2570.36,450,53,63,566,252,783,77.98,1
SOL-000002,19,F,soltero,Alquilada,1,Selva,Urbano,5299,81,Diario,Transporte,9440,67,3115.2,1714,1705,6534.2,490,164,160,814,480,999,87.54,1
SOL-000003,45,F,soltero,Propia,1,Costa,Rural,4970,74,Diario,Transporte,5568,65,1948.8,227,120,2295.8,430,99,87,616,87,787,73.17,1
SOL-000004,26,F,divorciado,Alquilada,3,Sierra,Periurbano,535,7,Quincenal,Produccion,2191,55,985.95,522,39,1546.95,740,98,149,987,2235,571,36.2,0
SOL-000005,38,F,soltero,Familiar,1,Sierra,Periurbano,3200,37,Diario,Transporte,1785,10,1606.5,89,12,1707.5,450,139,24,613,720,716,64.1,1
SOL-000006,23,M,soltero,Familiar,1,Sierra,Rural,1886,3,Mensual,Servicios,2229,71,646.41,303,216,1165.41,390,58,25,473,750,891,59.41,1
SOL-000007,45,F,soltero,Familiar,1,Costa,Periurbano,8653,79,Diario,Produccion,8660,59,3550.6,2274,1001,6825.6,480,176,163,819,1956,679,88,1
SOL-000008,60,F,divorciado,Alquilada,5,Sierra,Urbano,1124,6,Mensual,Produccion,2905,74,755.3,114,483,1352.3,1180,51,35,1266,630,817,6.38,0
SOL-000009,26,F,viudo,Familiar,4,Selva,Periurbano,5387,10,Mensual,Comercio,5246,55,2360.7,1141,15,3516.7,920,186,333,1439,999,667,59.08,1
SOL-000010,51,F,viudo,Propia,1,Selva,Periurbano,845,21,Semanal,Transporte,1767,64,636.12,28,181,845.12,430,53,35,518,210,877,38.71,1
SOL-000011,42,F,soltero,Familiar,1,Sierra,Periurbano,8876,4,Mensual,Servicios,7639,59,3131.99,2277,471,5879.99,450,76,340,866,2040,655,85.27,1
SOL-000012,31,F,conviviente,Alquilada,3,Sierra,Rural,1597,10,Mensual,Transporte,2844,70,853.2,825,216,1894.2,630,76,67,773,670,882,59.19,1
SOL-000013,64,M,soltero,Propia,1,Sierra,Urbano,509,37,Diario,Comercio,4139,74,1076.14,659,213,1948.14,520,56,202,778,1010,762,60.06,1
SOL-000014,22,M,conviviente,Familiar,6,Sierra,Periurbano,1607,52,Semanal,Transporte,8049,70,2414.7,173,214,2801.7,1210,239,382,1831,13752,384,34.65,0
