ID,edad,genero,estado_civil,tipo_vivienda,integrantes,zona_geografica,tipo_zona,monto_solicitado,plazo,periodo,ingreso_adicional,ingreso_terceros,sector_economico,ingreso_mensual_bruto,costo_inversion,ingreso_mensual_neto,gasto_basico,gastos_operativos,gastos_financieros,deuda_total_financiera,puntaje_experian,aprobado
SOL-000001,35,F,viudo,Propia,5,Selva,Urbano,9687,12,Mensual,4065,2459,Transporte,9876,60,3950.4,1160,180,414,4968,658,1
SOL-000002,37,F,soltero,Alquilada,1,Costa,Urbano,1612,7,Mensual,91,1235,Servicios,3666,54,1686.36,550,64,338,4056,523,0
SOL-000003,65,M,divorciado,Propia,3,Selva,Rural,1220,34,Diario,2383,1370,Transporte,3746,60,1498.4,590,128,161,1449,907,1
SOL-000004,50,F,soltero,Alquilada,1,Selva,Urbano,11649,7,Quincenal,5091,1494,Comercio,8157,31,5628.33,490,154,1121,47082,297,0
SOL-000005,61,M,divorciado,Familiar,3,Selva,Urbano,1028,24,Semanal,479,617,Produccion,1869,70,560.7,800,56,36,720,755,0
SOL-000006,51,M,divorciado,Alquilada,3,Selva,Urbano,2706,40,Semanal,2461,1178,Transporte,3718,68,1189.76,800,106,212,10176,66,0
SOL-000007,44,F,casado,Familiar,2,Costa,Urbano,3828,54,Diario,4841,879,Servicios,7812,74,2031.12,710,77,249,7470,527,0
SOL-000008,22,M,divorciado,Propia,6,Sierra,Rural,580,8,Mensual,1157,866,Comercio,2187,73,590.49,1020,54,169,5070,224,0
SOL-000009,20,M,soltero,Familiar,1,Sierra,Rural,14778,4,Mensual,4059,1425,Comercio,8371,34,5524.86,390,79,344,5160,954,1
SOL-000010,26,F,viudo,Familiar,4,Sierra,Urbano,2174,13,Quincenal,106,223,Produccion,3083,55,1387.35,1000,81,190,7980,486,0
SOL-000011,45,F,soltero,Alquilada,1,Costa,Urbano,12011,3,Mensual,2431,1948,Comercio,5355,18,4391.1,550,123,514,15420,620,0
SOL-000012,19,F,soltero,Propia,1,Sierra,Rural,1093,6,Quincenal,1070,238,Comercio,1742,74,452.92,390,47,127,3048,75,0
SOL-000013,64,M,soltero,Alquilada,1,Costa,Periurbano,5024,44,Diario,1124,1694,Servicios,8715,70,2614.5,480,192,21,1176,897,1
SOL-000014,41,F,casado,Alquilada,1,Selva,Rural,8395,90,Diario,1232,812,Servicios,9353,63,3460.61,350,100,394,19306,432,0
SOL-000015,57,M,soltero,Familiar,1,Sierra,Urbano,1161,18,Semanal,42,147,Comercio,1369,69,424.39,520,45,93,5208,251,0
SOL-000016,46,F,conviviente,Propia,3,Costa,Rural,2794,64,Diario,2862,2405,Produccion,5548,71,1608.92,700,117,376,12032,28,0
SOL-000017,63,F,casado,Propia,3,Selva,Urbano,647,8,Mensual,3014,1396,Produccion,6811,70,2043.3,800,125,362,6516,635,1
SOL-000018,62,M,casado,Familiar,2,Selva,Urbano,880,44,Semanal,904,619,Servicios,1466,60,586.4,640,51,111,4440,108,0
SOL-000019,63,M,conviviente,Familiar,5,Costa,Periurbano,1914,24,Semanal,1466,43,Produccion,6410,72,1794.8,1130,72,158,3792,636,0
SOL-000020,36,F,conviviente,Familiar,3,Selva,Rural,5380,20,Quincenal,3764,925,Comercio,6534,58,2744.28,590,254,101,1515,844,1
SOL-000021,56,F,divorciado,Alquilada,1,Selva,Rural,2825,28,Semanal,4295,2591,Produccion,6418,72,1797.04,350,55,16,560,994,1
SOL-000022,62,F,divorciado,Familiar,6,Sierra,Periurbano,1367,76,Diario,1090,1022,Produccion,2816,65,985.6,1210,69,292,7008,246,0
SOL-000023,69,M,viudo,Alquilada,2,Selva,Rural,302,46,Semanal,1803,106,Produccion,3267,72,914.76,470,58,177,2655,567,1
SOL-000024,55,M,casado,Familiar,5,Selva,Urbano,2803,6,Mensual,103,4,Transporte,1986,47,1052.58,1160,50,106,4452,363,0
SOL-000025,41,F,divorciado,Propia,1,Sierra,Urbano,6934,13,Quincenal,263,1649,Servicios,6258,58,2628.36,520,253,3,36,948,1
SOL-000026,65,F,casado,Familiar,5,Costa,Urbano,983,9,Semanal,382,722,Produccion,2749,52,1319.52,1250,54,202,3232,615,0
SOL-000027,50,M,divorciado,Familiar,4,Selva,Urbano,1201,6,Semanal,72,392,Transporte,1141,63,422.17,990,50,105,4410,22,0
SOL-000028,23,M,soltero,Familiar,1,Costa,Rural,5582,3,Mensual,3283,1542,Transporte,7703,75,1925.75,430,56,335,21440,230,0
SOL-000029,20,F,soltero,Alquilada,1,Selva,Periurbano,3183,40,Semanal,4343,1969,Produccion,7068,71,2049.72,430,191,113,3616,688,1
SOL-000030,51,M,viudo,Alquilada,5,Selva,Urbano,10005,17,Quincenal,6056,341,Servicios,8728,38,5411.36,1160,377,1442,69216,130,0
SOL-000031,58,M,divorciado,Alquilada,2,Sierra,Urbano,1163,20,Quincenal,4268,866,Produccion,9111,40,5466.6,670,395,1612,51584,111,0
SOL-000032,65,F,casado,Propia,2,Selva,Periurbano,8192,5,Mensual,3512,3595,Transporte,7449,53,3501.03,580,156,653,36568,163,0
SOL-000033,37,F,conviviente,Alquilada,5,Sierra,Urbano,3220,16,Semanal,2794,2040,Produccion,4151,71,1203.79,1180,73,226,7232,152,0
SOL-000034,67,M,viudo,Propia,2,Sierra,Urbano,3131,48,Semanal,2997,182,Servicios,6620,53,3111.4,670,82,631,15144,471,1
SOL-000035,52,M,soltero,Alquilada,1,Sierra,Urbano,1187,13,Quincenal,647,334,Servicios,1187,65,415.45,520,45,122,4392,125,0
SOL-000036,49,F,viudo,Propia,3,Sierra,Urbano,5001,40,Diario,2866,3035,Comercio,7103,73,1917.81,830,140,413,3717,666,0
SOL-000037,45,F,casado,Alquilada,2,Selva,Rural,2031,6,Quincenal,614,1431,Comercio,3774,65,1320.9,470,116,204,2448,712,1
SOL-000038,27,F,divorciado,Familiar,6,Sierra,Periurbano,9340,3,Mensual,2727,405,Comercio,8663,58,3638.46,1210,204,723,28920,110,0
SOL-000039,48,M,divorciado,Propia,4,Costa,Urbano,548,12,Mensual,2166,1813,Produccion,3662,38,2270.44,1070,51,555,26640,66,0
SOL-000040,48,F,viudo,Propia,6,Sierra,Urbano,4976,118,Diario,1168,1690,Comercio,4571,63,1691.27,1350,133,455,13650,226,0
SOL-000041,24,F,casado,Propia,4,Selva,Periurbano,323,12,Quincenal,354,208,Produccion,1005,77,231.15,920,29,64,1344,462,0
SOL-000042,23,M,casado,Propia,6,Selva,Rural,7054,32,Semanal,3013,3669,Comercio,7999,45,4399.45,970,233,958,46942,245,0
SOL-000043,37,F,casado,Familiar,2,Selva,Urbano,3878,6,Semanal,531,782,Produccion,6595,67,2176.35,640,74,310,3720,663,0
SOL-000044,64,M,soltero,Propia,1,Costa,Rural,1279,21,Semanal,1597,680,Servicios,2418,75,604.5,430,55,140,2800,360,0
SOL-000045,20,F,soltero,Alquilada,1,Costa,Rural,4361,17,Semanal,694,1475,Produccion,2972,40,1783.2,430,168,231,2079,685,1
SOL-000046,45,F,viudo,Propia,5,Sierra,Rural,1776,50,Semanal,3934,882,Transporte,6506,77,1496.38,890,113,87,2784,771,1
SOL-000047,44,M,soltero,Alquilada,1,Costa,Urbano,2251,9,Quincenal,4081,2143,Produccion,7685,72,2151.8,550,102,369,8856,377,1
SOL-000048,40,M,divorciado,Familiar,6,Costa,Rural,566,2,Quincenal,183,1202,Servicios,5298,59,2172.18,1150,149,553,11060,463,0
SOL-000049,26,F,casado,Familiar,1,Selva,Rural,5620,3,Mensual,1398,1365,Transporte,5306,42,3077.48,350,203,664,19920,286,0
SOL-000050,27,M,conviviente,Familiar,6,Sierra,Rural,313,4,Semanal,142,726,Comercio,2836,63,1049.32,1020,102,268,8576,145,0
SOL-000051,32,M,conviviente,Alquilada,2,Sierra,Urbano,5494,11,Quincenal,3320,2819,Servicios,6520,70,1956,670,90,449,13470,49,0
SOL-000052,42,F,casado,Familiar,6,Costa,Periurbano,1681,20,Quincenal,1404,421,Servicios,3420,73,923.4,1300,83,25,450,976,1
SOL-000053,40,M,soltero,Alquilada,1,Sierra,Urbano,997,33,Semanal,3,508,Transporte,1104,64,397.44,520,40,41,1230,526,0
SOL-000054,40,F,soltero,Familiar,1,Costa,Urbano,5390,98,Diario,4012,1676,Transporte,7322,66,2489.48,550,229,284,2556,751,1
SOL-000055,33,M,divorciado,Familiar,1,Sierra,Periurbano,3757,56,Diario,108,315,Produccion,3822,61,1490.58,450,85,402,11256,82,0
SOL-000056,66,F,divorciado,Propia,5,Selva,Periurbano,2385,10,Semanal,1179,503,Produccion,5645,73,1524.15,1080,100,454,14528,283,0
SOL-000057,49,F,casado,Propia,4,Selva,Periurbano,2443,14,Quincenal,1074,356,Produccion,3796,55,1708.2,920,118,290,10150,367,0
SOL-000058,61,F,divorciado,Alquilada,2,Costa,Rural,5208,23,Quincenal,1623,804,Comercio,2332,10,2098.8,560,154,613,9808,428,0
SOL-000059,35,M,soltero,Propia,1,Selva,Urbano,1673,15,Quincenal,6161,3238,Comercio,9550,65,3342.5,490,254,898,50288,252,1
SOL-000060,67,F,soltero,Propia,1,Costa,Periurbano,6543,34,Diario,6039,64,Servicios,9379,70,2813.7,480,174,41,984,842,1
SOL-000061,49,M,conviviente,Alquilada,1,Sierra,Rural,5831,35,Semanal,1304,1011,Transporte,4333,40,2599.8,390,226,144,5760,644,1
SOL-000062,38,M,casado,Alquilada,6,Sierra,Periurbano,1488,16,Quincenal,1931,2709,Produccion,6053,66,2058.02,1210,152,431,21119,128,0
SOL-000063,56,M,soltero,Alquilada,1,Selva,Rural,1545,3,Mensual,1321,1892,Comercio,9155,67,3021.15,350,225,229,5496,650,1
SOL-000064,38,F,conviviente,Alquilada,6,Costa,Periurbano,5314,31,Diario,2797,2560,Comercio,8074,73,2179.98,1300,205,188,7896,500,0
SOL-000065,66,F,conviviente,Alquilada,5,Sierra,Rural,11177,108,Diario,5421,4307,Produccion,9411,56,4140.84,890,338,645,22575,460,0
SOL-000066,20,F,soltero,Alquilada,1,Selva,Periurbano,959,31,Semanal,3640,1861,Comercio,7034,85,1055.1,430,68,202,3232,620,1
SOL-000067,19,M,soltero,Familiar,1,Selva,Rural,1707,10,Mensual,6014,2348,Transporte,8727,72,2443.56,350,239,100,4000,756,1
SOL-000068,36,M,soltero,Alquilada,1,Sierra,Urbano,1788,79,Diario,1120,1132,Transporte,2500,71,725,520,64,134,2412,545,0
SOL-000069,42,M,divorciado,Familiar,3,Costa,Periurbano,597,84,Diario,313,206,Produccion,1292,52,620.16,790,50,28,1792,539,0
SOL-000070,23,M,conviviente,Familiar,6,Costa,Urbano,1173,44,Semanal,1716,933,Produccion,2742,65,959.7,1440,63,131,2358,617,1
SOL-000071,37,M,viudo,Propia,3,Costa,Rural,5243,73,Diario,224,781,Servicios,3879,35,2521.35,700,244,688,33712,248,0
SOL-000072,41,F,viudo,Alquilada,3,Costa,Rural,16728,8,Mensual,3114,795,Produccion,8677,35,5640.05,700,395,206,3090,806,1
SOL-000073,35,F,casado,Propia,3,Costa,Rural,1078,46,Diario,1738,2387,Servicios,7265,71,2106.85,700,191,61,1464,884,1
SOL-000074,61,M,viudo,Alquilada,6,Costa,Rural,13982,61,Diario,198,1632,Comercio,8233,35,5351.45,1150,365,1333,65317,231,0
SOL-000075,27,F,soltero,Propia,1,Sierra,Urbano,7433,3,Mensual,3322,1343,Transporte,8027,64,2889.72,520,159,440,3960,743,1
SOL-000076,60,M,viudo,Familiar,3,Sierra,Urbano,1447,40,Diario,115,1638,Servicios,3644,73,983.88,830,90,37,1036,798,1
SOL-000077,49,F,soltero,Alquilada,1,Sierra,Periurbano,6990,53,Diario,4113,3306,Produccion,8420,56,3704.8,450,280,881,21144,479,0
SOL-000078,31,M,conviviente,Propia,6,Selva,Urbano,2862,73,Diario,4329,3210,Transporte,7038,71,2041.02,1330,180,129,1548,995,1
SOL-000079,48,F,soltero,Propia,1,Selva,Rural,2005,7,Mensual,598,895,Servicios,2113,63,781.81,350,71,211,6330,167,0
SOL-000080,61,M,soltero,Alquilada,1,Sierra,Periurbano,2283,34,Diario,335,335,Produccion,3107,68,994.24,450,83,251,7028,120,0
SOL-000081,60,F,viudo,Propia,2,Costa,Urbano,2074,17,Quincenal,129,715,Servicios,2739,55,1232.55,710,109,314,20096,176,0
SOL-000082,36,F,conviviente,Alquilada,2,Sierra,Periurbano,2966,12,Mensual,2292,1219,Comercio,8720,74,2267.2,590,157,42,2688,791,1
SOL-000083,63,M,conviviente,Propia,6,Costa,Urbano,2121,13,Quincenal,1213,844,Transporte,3088,52,1482.24,1440,61,405,9720,34,0
SOL-000084,51,F,soltero,Alquilada,1,Selva,Periurbano,3746,19,Semanal,2475,1257,Transporte,4226,70,1267.8,430,81,155,5425,390,0
SOL-000085,20,M,soltero,Familiar,1,Selva,Periurbano,1089,12,Mensual,390,598,Comercio,2780,53,1306.6,430,118,64,1152,841,1
SOL-000086,39,M,viudo,Familiar,4,Sierra,Rural,5476,57,Diario,1605,755,Comercio,7434,55,3345.3,750,139,775,15500,379,0
SOL-000087,36,F,casado,Familiar,2,Sierra,Rural,1172,12,Mensual,546,168,Servicios,2532,71,734.28,520,59,23,1288,728,1
SOL-000088,63,F,conviviente,Alquilada,2,Costa,Urbano,2617,109,Diario,1021,637,Transporte,2439,55,1097.55,710,60,73,1168,650,0
SOL-000089,31,M,casado,Familiar,3,Costa,Periurbano,1786,49,Semanal,431,1443,Produccion,4514,74,1173.64,790,93,67,1072,982,1
SOL-000090,28,F,divorciado,Propia,6,Costa,Rural,4921,6,Mensual,886,2071,Comercio,7462,50,3731,1150,114,590,16520,473,0
SOL-000091,61,F,casado,Familiar,1,Sierra,Periurbano,589,39,Diario,1189,300,Produccion,1808,73,488.16,450,49,115,1380,635,0
SOL-000092,43,M,soltero,Alquilada,1,Selva,Rural,1288,11,Quincenal,1656,246,Transporte,6721,63,2486.77,350,104,43,903,904,1
SOL-000093,42,M,viudo,Alquilada,3,Sierra,Periurbano,1605,49,Diario,5239,1561,Transporte,8318,65,2911.3,740,63,796,11940,409,1
SOL-000094,27,M,divorciado,Propia,3,Costa,Urbano,11411,9,Mensual,3734,1461,Comercio,7915,51,3878.35,890,84,250,6000,655,1
SOL-000095,43,M,soltero,Alquilada,1,Selva,Periurbano,3751,31,Semanal,450,320,Transporte,7487,60,2994.8,430,70,286,6864,589,1
SOL-000096,20,F,soltero,Familiar,1,Costa,Periurbano,3681,11,Mensual,2126,1401,Produccion,4453,67,1469.49,480,140,184,2208,652,1
SOL-000097,53,M,divorciado,Familiar,3,Sierra,Urbano,2537,115,Diario,866,235,Servicios,4049,55,1822.05,830,158,491,14730,233,0
SOL-000098,38,M,conviviente,Propia,5,Sierra,Rural,3594,5,Mensual,1187,1762,Servicios,4203,67,1386.99,890,117,291,8730,12,0
SOL-000099,29,M,casado,Alquilada,1,Selva,Periurbano,4160,70,Diario,4966,1625,Transporte,9200,73,2484,430,203,192,3840,767,1
SOL-000100,33,F,soltero,Alquilada,1,Costa,Rural,6004,107,Diario,3745,770,Comercio,5463,60,2185.2,430,163,640,40960,63,0
SOL-000101,23,M,casado,Alquilada,2,Sierra,Rural,7625,12,Mensual,3166,3968,Servicios,8721,55,3924.45,520,259,1056,25344,221,0
SOL-000102,29,M,viudo,Propia,2,Costa,Urbano,11549,75,Diario,5903,1239,Comercio,8994,55,4047.3,710,265,1051,36785,259,0
SOL-000103,48,M,divorciado,Familiar,2,Selva,Periurbano,2956,68,Diario,331,713,Servicios,3967,65,1388.45,580,60,143,2288,668,0
SOL-000104,32,F,conviviente,Familiar,3,Selva,Urbano,1075,23,Semanal,295,1019,Servicios,3095,30,2166.5,800,87,578,17340,34,0
SOL-000105,56,M,conviviente,Familiar,4,Selva,Periurbano,11012,6,Quincenal,420,2038,Produccion,8114,53,3813.58,920,280,839,15102,642,0
SOL-000106,63,M,casado,Alquilada,2,Selva,Rural,2557,13,Semanal,437,1152,Comercio,4774,78,1050.28,470,64,125,6125,433,0
SOL-000107,46,F,soltero,Propia,1,Costa,Rural,17098,8,Mensual,1977,1487,Servicios,7440,18,6100.8,430,359,1171,17565,637,1
SOL-000108,25,M,divorciado,Alquilada,1,Sierra,Periurbano,5187,22,Quincenal,4832,693,Produccion,9249,71,2682.21,450,221,71,639,924,1
SOL-000109,68,F,viudo,Propia,5,Sierra,Periurbano,3577,12,Mensual,5581,2014,Produccion,8827,71,2559.83,1050,172,198,7128,611,1
SOL-000110,18,F,soltero,Familiar,1,Selva,Periurbano,2885,12,Semanal,2956,1216,Transporte,6851,66,2329.34,430,176,562,6744,613,1
SOL-000111,51,F,conviviente,Familiar,4,Selva,Periurbano,2358,16,Semanal,1964,1686,Transporte,4256,70,1276.8,920,89,295,4425,540,1
